Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Interaction,Contract Duration (Months),Churn,Tenure_Bucket,Support_Call_Intensity,Interaction_Frequency
49.0,0,47.0,16.0,4.0,6.0,1,745.58,11.0,12,0.0,2,0.0851063829787234,1.3333333333333333
19.0,1,58.0,12.0,0.0,18.0,0,377.0,18.0,1,1.0,2,0.0,0.631578947368421
42.0,0,41.0,16.0,4.0,14.0,0,986.25,4.0,12,0.0,2,0.0975609756097561,3.2
59.0,1,16.0,3.0,3.0,5.0,1,991.28,27.0,12,1.0,1,0.1875,0.10714285714285714
52.0,1,44.0,12.0,4.0,17.0,2,563.0,24.0,12,1.0,2,0.09090909090909091,0.48
32.0,0,28.0,23.0,1.0,30.0,0,940.0,7.0,1,1.0,1,0.03571428571428571,2.875
33.0,1,3.0,20.0,0.0,22.0,0,158.0,12.0,3,1.0,0,0.0,1.5384615384615385
31.0,1,10.0,26.0,9.0,23.0,0,996.92,4.0,12,1.0,0,0.9,5.2
44.0,1,41.0,3.0,1.0,10.0,0,840.4,2.0,3,0.0,2,0.024390243902439025,1.0
19.0,0,48.0,16.0,8.0,30.0,2,575.36,29.0,1,1.0,2,0.16666666666666666,0.5333333333333333
43.0,0,40.0,3.0,7.0,2.0,2,793.96,9.0,1,1.0,2,0.175,0.3
41.0,0,21.0,13.0,9.0,19.0,2,712.0,27.0,3,1.0,1,0.42857142857142855,0.4642857142857143
54.0,1,40.0,13.0,5.0,30.0,2,831.0,18.0,1,1.0,2,0.125,0.6842105263157895
20.0,1,32.0,15.0,10.0,2.0,2,124.0,3.0,1,1.0,1,0.3125,3.75
48.0,0,38.0,19.0,8.0,8.0,1,175.0,2.0,1,1.0,2,0.21052631578947367,6.333333333333333
30.0,1,16.0,18.0,0.0,4.0,1,881.78,16.0,3,0.0,1,0.0,1.0588235294117647
28.0,1,14.0,1.0,1.0,24.0,0,370.42,24.0,1,1.0,1,0.07142857142857142,0.04
19.0,1,48.0,14.0,5.0,10.0,1,487.0,20.0,12,1.0,2,0.10416666666666667,0.6666666666666666
63.0,0,52.0,9.0,1.0,2.0,1,697.0,21.0,1,1.0,2,0.019230769230769232,0.4090909090909091
26.0,1,53.0,15.0,10.0,29.0,0,714.0,27.0,12,1.0,2,0.18867924528301888,0.5357142857142857
48.0,1,44.0,21.0,3.0,11.0,0,518.01,11.0,12,0.0,2,0.06818181818181818,1.75
22.0,1,25.0,25.0,1.0,9.0,2,971.38,17.0,12,0.0,1,0.04,1.3888888888888888
41.0,0,59.0,17.0,0.0,27.0,2,750.06,12.0,3,1.0,2,0.0,1.3076923076923077
32.0,1,29.0,13.0,1.0,6.0,1,330.0,19.0,3,1.0,1,0.034482758620689655,0.65
35.0,1,58.0,7.0,0.0,9.0,2,828.46,28.0,12,0.0,2,0.0,0.2413793103448276
30.0,0,59.0,6.0,1.0,16.0,0,724.76,6.0,3,0.0,2,0.01694915254237288,0.8571428571428571
58.0,1,6.0,16.0,1.0,5.0,2,330.1,11.0,1,1.0,0,0.16666666666666666,1.3333333333333333
19.0,0,32.0,19.0,9.0,6.0,0,268.0,19.0,12,1.0,1,0.28125,0.95
58.0,1,26.0,13.0,1.0,18.0,2,467.0,8.0,1,1.0,1,0.038461538461538464,1.4444444444444444
41.0,1,28.0,3.0,9.0,25.0,0,565.78,14.0,3,1.0,1,0.32142857142857145,0.2
57.0,0,29.0,14.0,2.0,17.0,1,553.0,6.0,3,1.0,1,0.06896551724137931,2.0
23.0,0,3.0,18.0,9.0,22.0,2,868.0,15.0,3,1.0,0,3.0,1.125
46.0,0,44.0,7.0,5.0,26.0,2,831.0,24.0,12,1.0,2,0.11363636363636363,0.28
54.0,0,7.0,29.0,1.0,6.0,2,735.0,29.0,1,1.0,0,0.14285714285714285,0.9666666666666667
44.0,1,45.0,18.0,1.0,16.0,0,697.71,14.0,12,0.0,2,0.022222222222222223,1.2
18.0,1,21.0,15.0,7.0,22.0,0,999.84,25.0,3,1.0,1,0.3333333333333333,0.5769230769230769
26.0,1,6.0,29.0,1.0,19.0,0,821.0,14.0,1,1.0,0,0.16666666666666666,1.9333333333333333
60.0,0,42.0,9.0,3.0,3.0,1,835.0,19.0,1,1.0,2,0.07142857142857142,0.45
24.0,0,47.0,5.0,4.0,2.0,0,633.0,20.0,3,1.0,2,0.0851063829787234,0.23809523809523808
26.0,0,14.0,20.0,1.0,6.0,2,336.0,1.0,1,1.0,1,0.07142857142857142,10.0
42.0,0,59.0,19.0,5.0,20.0,2,121.85,2.0,3,1.0,2,0.0847457627118644,6.333333333333333
40.0,1,36.0,19.0,2.0,21.0,1,814.7,12.0,3,1.0,1,0.05555555555555555,1.4615384615384615
28.0,0,15.0,14.0,10.0,1.0,1,706.21,14.0,1,1.0,1,0.6666666666666666,0.9333333333333333
41.0,1,32.0,18.0,0.0,3.0,1,867.01,13.0,12,0.0,1,0.0,1.2857142857142858
22.0,0,9.0,11.0,1.0,19.0,2,509.96,2.0,12,0.0,0,0.1111111111111111,3.6666666666666665
22.0,0,46.0,14.0,7.0,23.0,0,247.0,11.0,1,1.0,2,0.15217391304347827,1.1666666666666667
28.0,1,45.0,18.0,9.0,12.0,1,885.0,18.0,3,1.0,2,0.2,0.9473684210526315
54.0,1,42.0,27.0,0.0,23.0,0,344.0,18.0,12,1.0,2,0.0,1.4210526315789473
34.0,0,53.0,11.0,1.0,10.0,1,561.48,1.0,12,0.0,2,0.018867924528301886,5.5
35.0,1,46.0,27.0,3.0,9.0,0,937.26,8.0,12,0.0,2,0.06521739130434782,3.0
37.0,0,22.0,24.0,6.0,28.0,0,180.0,24.0,1,1.0,1,0.2727272727272727,0.96
61.0,0,37.0,2.0,7.0,1.0,0,790.0,29.0,1,1.0,2,0.1891891891891892,0.06666666666666667
32.0,1,20.0,23.0,8.0,0.0,1,422.03,10.0,1,1.0,1,0.4,2.090909090909091
30.0,0,19.0,16.0,0.0,11.0,0,830.9,8.0,3,0.0,1,0.0,1.7777777777777777
26.0,1,4.0,16.0,0.0,0.0,1,959.2,3.0,3,0.0,0,0.0,4.0
