Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Interaction,Contract Duration (Months),Tenure_Bucket,Support_Call_Intensity,Interaction_Frequency,Churn
49.0,0,47.0,16.0,4.0,6.0,1,745.58,11.0,12,2,0.0851063829787234,1.3333333333333333,0.0
19.0,1,58.0,12.0,0.0,18.0,0,377.0,18.0,1,2,0.0,0.631578947368421,1.0
42.0,0,41.0,16.0,4.0,14.0,0,986.25,4.0,12,2,0.0975609756097561,3.2,0.0
59.0,1,16.0,3.0,3.0,5.0,1,991.28,27.0,12,1,0.1875,0.1071428571428571,1.0
52.0,1,44.0,12.0,4.0,17.0,2,563.0,24.0,12,2,0.0909090909090909,0.48,1.0
32.0,0,28.0,23.0,1.0,30.0,0,940.0,7.0,1,1,0.0357142857142857,2.875,1.0
33.0,1,3.0,20.0,0.0,22.0,0,158.0,12.0,3,0,0.0,1.5384615384615383,1.0
31.0,1,10.0,26.0,9.0,23.0,0,996.92,4.0,12,0,0.9,5.2,1.0
44.0,1,41.0,3.0,1.0,10.0,0,840.4,2.0,3,2,0.024390243902439,1.0,0.0
19.0,0,48.0,16.0,8.0,30.0,2,575.36,29.0,1,2,0.1666666666666666,0.5333333333333333,1.0
43.0,0,40.0,3.0,7.0,2.0,2,793.96,9.0,1,2,0.175,0.3,1.0
41.0,0,21.0,13.0,9.0,19.0,2,712.0,27.0,3,1,0.4285714285714285,0.4642857142857143,1.0
54.0,1,40.0,13.0,5.0,30.0,2,831.0,18.0,1,2,0.125,0.6842105263157895,1.0
20.0,1,32.0,15.0,10.0,2.0,2,124.0,3.0,1,1,0.3125,3.75,1.0
48.0,0,38.0,19.0,8.0,8.0,1,175.0,2.0,1,2,0.2105263157894736,6.333333333333333,1.0
30.0,1,16.0,18.0,0.0,4.0,1,881.78,16.0,3,1,0.0,1.0588235294117647,0.0
28.0,1,14.0,1.0,1.0,24.0,0,370.42,24.0,1,1,0.0714285714285714,0.04,1.0
19.0,1,48.0,14.0,5.0,10.0,1,487.0,20.0,12,2,0.1041666666666666,0.6666666666666666,1.0
63.0,0,52.0,9.0,1.0,2.0,1,697.0,21.0,1,2,0.0192307692307692,0.4090909090909091,1.0
26.0,1,53.0,15.0,10.0,29.0,0,714.0,27.0,12,2,0.1886792452830188,0.5357142857142857,1.0
48.0,1,44.0,21.0,3.0,11.0,0,518.01,11.0,12,2,0.0681818181818181,1.75,0.0
22.0,1,25.0,25.0,1.0,9.0,2,971.38,17.0,12,1,0.04,1.3888888888888888,0.0
41.0,0,59.0,17.0,0.0,27.0,2,750.06,12.0,3,2,0.0,1.3076923076923077,1.0
32.0,1,29.0,13.0,1.0,6.0,1,330.0,19.0,3,1,0.0344827586206896,0.65,1.0
35.0,1,58.0,7.0,0.0,9.0,2,828.46,28.0,12,2,0.0,0.2413793103448276,0.0
30.0,0,59.0,6.0,1.0,16.0,0,724.76,6.0,3,2,0.0169491525423728,0.8571428571428571,0.0
58.0,1,6.0,16.0,1.0,5.0,2,330.1,11.0,1,0,0.1666666666666666,1.3333333333333333,1.0
19.0,0,32.0,19.0,9.0,6.0,0,268.0,19.0,12,1,0.28125,0.95,1.0
58.0,1,26.0,13.0,1.0,18.0,2,467.0,8.0,1,1,0.0384615384615384,1.4444444444444444,1.0
41.0,1,28.0,3.0,9.0,25.0,0,565.78,14.0,3,1,0.3214285714285714,0.2,1.0
57.0,0,29.0,14.0,2.0,17.0,1,553.0,6.0,3,1,0.0689655172413793,2.0,1.0
23.0,0,3.0,18.0,9.0,22.0,2,868.0,15.0,3,0,3.0,1.125,1.0
46.0,0,44.0,7.0,5.0,26.0,2,831.0,24.0,12,2,0.1136363636363636,0.28,1.0
54.0,0,7.0,29.0,1.0,6.0,2,735.0,29.0,1,0,0.1428571428571428,0.9666666666666668,1.0
